origin	month	voli_basso	avg_dep_basso	avg_arr_basso	voli_medio	avg_dep_medio	avg_arr_medio	voli_alto	avg_dep_alto	avg_arr_alto	causa_canc_piu_frequente
ABE	1	87	7.25	12.69	7	36.57	37.17	9	302.44	302.22	N/A
ABE	2	90	5.56	19.5	6	31.5	20.67	5	292.8	282.6	N/A
ABE	3	113	6.67	8.71	9	26.33	21.29	5	170.4	159.8	N/A
ABE	4	93	4.88	8.0	11	39.27	31.7	10	238.4	227.1	N/A
ABE	5	104	5.31	7.54	6	29.0	34.33	10	167.5	163.2	N/A
ABE	6	104	4.93	10.92	7	23.43	15.43	7	222.29	216.29	N/A
ABE	7	95	5.69	25.86	9	40.22	48.33	13	95.23	93.92	N/A
ABE	8	86	4.6	14.6	16	38.56	36.94	8	138.38	136.0	N/A
ABE	9	74	3.63	11.2	6	36.83	29.6	5	99.6	94.8	N/A
ABE	10	93	6.31	17.6	13	26.54	14.5	6	100.67	96.17	N/A
