ORIGIN	MONTH	VOLI_BASSO	AVG_DEP_BASSO	AVG_ARR_BASSO	VOLI_MEDIO	AVG_DEP_MEDIO	AVG_ARR_MEDIO	VOLI_ALTO	AVG_DEP_ALTO	AVG_ARR_ALTO	CAUSA_CANC_FREQ
ABE	1	275	6.53	16.1	30	34.9	35.5	30	241.3	234.03	N/A
ABE	2	296	6.03	16.85	19	28.53	17.21	14	227.93	217.93	N/A
ABE	3	339	7.26	10.44	28	30.68	22.92	23	173.43	163.39	N/A
ABE	4	303	5.56	8.48	29	33.45	28.71	29	258.66	250.38	N/A
ABE	5	320	6.39	10.67	26	30.08	29.58	39	183.13	177.13	N/A
ABE	6	335	5.71	9.44	37	26.65	18.91	37	173.24	172.32	N/A
ABE	7	280	6.08	20.95	41	34.61	32.87	37	138.08	137.08	N/A
ABE	8	289	5.68	15.74	42	32.02	31.61	27	146.96	144.3	N/A
ABE	9	276	7.16	11.88	24	38.08	34.43	16	265.06	261.25	N/A
ABE	10	302	6.6	15.0	31	26.23	14.81	18	193.17	183.83	N/A
